post_id,timestamp,author,text,source
1,2026-09-01 08:30:00,tech_guru,"Just tested the new open-weights AI model and it is mindblowing! Truly a game changer for developers. #AI #Tech #Innovation 🚀",Twitter
2,2026-09-01 09:15:00,rahul_k,"Silk Board traffic is completely jammed as usual. 2 hours to move 2 km! Dimag kharab ho gaya subah subah. #BangaloreTraffic #Traffic #Frustrated",Twitter
3,2026-09-01 10:05:00,priya_m,"Ordered biryani from Meghana and honestly it was ekdam mast! Best comfort food ever. #Biryani #Foodie #Delicious ❤️",Instagram
4,2026-09-01 11:20:00,rohit_v,"India played with incredible spirit today. What a thrilling last-over finish! Pure class from the skipper. #Cricket #IPL #Champion 🏏",Twitter
5,2026-09-01 12:45:00,ananya_s,"Flight delayed by 4 hours without any notification. Ground staff has no clue and zero empathy. Horrible experience! #AirlineFail #Travel #Angry 😡",Twitter
6,2026-09-01 14:10:00,vikram_r,"Received my package 3 days ahead of schedule. Amazon customer support was super helpful resolving the address typo. #Shopping #CustomerService #Happy",LinkedIn
7,2026-09-01 15:30:00,neha_t,"Exam results are out! Worked all night for months and finally cleared with distinction. Cannot believe this moment! #Education #StudentLife #Success 🎉",Instagram
8,2026-09-01 16:50:00,amit_p,"The latest thriller film had such a predictable plot and terrible pacing. Bilkul bakwas picture thi, totally wasted my money. #MovieReview #Entertainment #Boring",Twitter
9,2026-09-01 18:00:00,sneha_d,"The new municipal flyover inaugurated today by the transport minister. Hope this eases daily rush hour. #Infrastructure #Politics #CityNews",Twitter
10,2026-09-01 19:25:00,karan_j,"My internet connection has been down since yesterday. Raised 3 complaint tickets but no update yet. Customer care disconnects the call! #Broadband #CustomerService #Frustrated 😤",Twitter
11,2026-09-02 08:10:00,deepak_n,"Morning jog in the city park. The fresh breeze and sunrise make everything feel peaceful. #MorningWalk #Fitness #Peace",Instagram
12,2026-09-02 09:40:00,pooja_g,"Laptop screen went black right during my final presentation! Absolutely panic moment, hope the hard drive is safe. #TechFail #Panic #Fear 😨",Twitter
13,2026-09-02 11:00:00,siddharth_m,"Tried the new street food corner near Indiranagar. The momos were crisp and the spicy chutney was lajawab! #StreetFood #Foodie #Bangalore",Instagram
14,2026-09-02 12:30:00,tanvi_c,"Heartbroken to hear about the passing of our veteran professor. She inspired thousands of students. You will be dearly missed. #InMemoriam #Education #Sadness 😢",LinkedIn
15,2026-09-02 14:00:00,arjun_b,"Delivery boy was caught in heavy rain but still delivered the medicines on time. Gave him a generous tip. Hats off to delivery warriors! #Swiggy #Delivery #Respect 👏",Twitter
16,2026-09-02 15:45:00,divya_l,"Metro train stopped inside the dark tunnel for 20 minutes with AC off. People started suffocating. Truly terrifying experience! #Metro #Panic #SafetyAlert 😱",Twitter
17,2026-09-02 17:15:00,manish_w,"Shocked by the sudden price hike announced in the budget today. Middle class is bearing the brunt again. #Budget #Economy #Politics",Twitter
18,2026-09-02 18:40:00,rithika_e,"The concert was magical! The light show, acoustics, and live guitar solos were out of this world. What a night! #LiveMusic #Concert #Entertainment",Instagram
19,2026-09-02 20:10:00,suresh_k,"Bought this refurbished phone after seeing reviews, but battery drains in 2 hours. Bilkul bekaar product hai, do not buy! #ProductReview #Shopping #Scam",Twitter
20,2026-09-02 21:30:00,meera_y,"Python 3.14 features look very promising. The improved error tracebacks and performance boosts make development smoother. #Python #Coding #Tech",Twitter
21,2026-09-03 08:20:00,alok_v,"Heavy rain overnight has flooded several low-lying roads. Waterlogging at main junction, avoid the highway route! #Traffic #Weather #RoadSafety",Twitter
22,2026-09-03 09:55:00,harsh_m,"Food arrived cold and spilled all over the paper bag. Contacted Zomato support and they refused refund! Ghatiya service. #ZomatoFail #Food #Angry 😡",Twitter
23,2026-09-03 11:15:00,zoya_f,"Exploring the scenic tea estates of Munnar. The misty hills look straight out of a painting! Incredible beauty. #Travel #IncredibleIndia #Nature",Instagram
24,2026-09-03 12:40:00,kartik_s,"Unbelievable turnaround in the football derby! 3 goals scored in stoppage time, absolute madness! #Football #Comeback #Excitement ⚽",Twitter
